编号,图片类型,场景,动作/摆放,镜头/构图,穿搭/道具,风格关键词,反向词,最终指令
M14,模特半身图,校园墙边,蹲下整理鞋带鞋子靠近镜头,低机位近景主体清晰,棒球帽宽松T恤短裤运动鞋,青春街头买家秀真实抓拍,鞋带乱码脚踝变形强烈磨皮多人重复,模特半身图，校园墙边，蹲下整理鞋带鞋子靠近镜头，低机位近景主体清晰，棒球帽宽松T恤短裤运动鞋，青春街头买家秀真实抓拍，鞋子细节清晰，真实买家秀照片，避免鞋带乱码脚踝变形强烈磨皮多人重复
M15,模特半身图,便利店门口,一手拿饮料一手插兜脚步自然分开,街头竖拍鞋子清楚,浅色套装白袜运动鞋,夜晚便利店生活感轻微抓拍,过度滤镜脸部不自然鞋面模糊水印,模特半身图，便利店门口，一手拿饮料一手插兜脚步自然分开，街头竖拍鞋子清楚，浅色套装白袜运动鞋，夜晚便利店生活感轻微抓拍，鞋子细节清晰，真实买家秀照片，避免过度滤镜脸部不自然鞋面模糊水印
M16,模特半身图,阳台窗帘旁,坐在地毯上膝盖微弯脚尖朝外,半身到脚柔光,毛衣长袜浅色运动鞋,温柔居家自然光真实买家晒图,过曝腿部畸形鞋子不完整AI感强,模特半身图，阳台窗帘旁，坐在地毯上膝盖微弯脚尖朝外，半身到脚柔光，毛衣长袜浅色运动鞋，温柔居家自然光真实买家晒图，鞋子细节清晰，真实买家秀照片，避免过曝腿部畸形鞋子不完整AI感强
M17,模特半身图,酒店房间沙发,坐在沙发扶手边双脚一前一后,中近景竖图,黑白穿搭链条包运动鞋,轻奢生活化买家秀自然室内光,影楼感过度修图鞋子变形logo乱码,模特半身图，酒店房间沙发，坐在沙发扶手边双脚一前一后，中近景竖图，黑白穿搭链条包运动鞋，轻奢生活化买家秀自然室内光，鞋子细节清晰，真实买家秀照片，避免影楼感过度修图鞋子变形logo乱码
M18,模特半身图,工作室白墙前,转身回头抓拍身体自然放松,三分法半身到鞋,宽松上衣工装短裤运动鞋,干净白墙随拍真实人物比例,脸部崩坏肢体重复背景虚假文字水印,模特半身图，工作室白墙前，转身回头抓拍身体自然放松，三分法半身到鞋，宽松上衣工装短裤运动鞋，干净白墙随拍真实人物比例，鞋子细节清晰，真实买家秀照片，避免脸部崩坏肢体重复背景虚假文字水印
M19,模特半身图,街边斑马线旁,下楼梯或过马路瞬间抓拍鞋子清楚,动态街拍竖图,T恤牛仔裤运动鞋,街头买家秀自然动作非专业摄影感,运动模糊过重鞋底变形多人入镜水印,模特半身图，街边斑马线旁，下楼梯或过马路瞬间抓拍鞋子清楚，动态街拍竖图，T恤牛仔裤运动鞋，街头买家秀自然动作非专业摄影感，鞋子细节清晰，真实买家秀照片，避免运动模糊过重鞋底变形多人入镜水印
M20,模特半身图,地铁站外墙边,坐在矮墙上双腿自然分开手撑身后,低角度半身到鞋,外套短裤白袜运动鞋,城市通勤买家秀手机随拍自然光,姿势僵硬鞋子不完整logo乱码过度精修,模特半身图，地铁站外墙边，坐在矮墙上双腿自然分开手撑身后，低角度半身到鞋，外套短裤白袜运动鞋，城市通勤买家秀手机随拍自然光，鞋子细节清晰，真实买家秀照片，避免姿势僵硬鞋子不完整logo乱码过度精修
S01,静物图,黑色丝绒布背景,一双鞋微微交叠鞋带自然散开,俯拍构图主体居中,黑布褶皱少量留白,高级静物买家秀自然阴影鞋面纹理清晰,水印文字鞋子变形过度锐化,静物图，黑色丝绒布背景，一双鞋微微交叠鞋带自然散开，俯拍构图主体居中，黑布褶皱少量留白，高级静物买家秀自然阴影鞋面纹理清晰，鞋子细节清晰，真实买家秀照片，避免水印文字鞋子变形过度锐化
S02,静物图,白色棉布或床单,鞋子并排摆放布料有自然褶皱,柔和窗光俯拍,白布针织布料白袜点缀,干净真实静物图居家买家秀浅色调,背景脏乱鞋头扭曲logo乱码过曝,静物图，白色棉布或床单，鞋子并排摆放布料有自然褶皱，柔和窗光俯拍，白布针织布料白袜点缀，干净真实静物图居家买家秀浅色调，鞋子细节清晰，真实买家秀照片，避免背景脏乱鞋头扭曲logo乱码过曝
S03,静物图,灰色水泥台或石面,一只鞋平放一只鞋侧放旁边放干枝石块,侧俯拍中近景,干枝石块灰色背景,冷淡风静物摆拍真实材质自然光,假塑料质感鞋底变形文字水印画面过满,静物图，灰色水泥台或石面，一只鞋平放一只鞋侧放旁边放干枝石块，侧俯拍中近景，干枝石块灰色背景，冷淡风静物摆拍真实材质自然光，鞋子细节清晰，真实买家秀照片，避免假塑料质感鞋底变形文字水印画面过满
S04,静物图,黑色皮沙发,一只鞋侧放一只鞋正放像随手放下,近景竖图斜侧角度,黑皮沙发白布或纸袋,生活化买家秀静物真实反光自然阴影,棚拍感反光过强鞋面模糊logo乱码,静物图，黑色皮沙发，一只鞋侧放一只鞋正放像随手放下，近景竖图斜侧角度，黑皮沙发白布或纸袋，生活化买家秀静物真实反光自然阴影，鞋子细节清晰，真实买家秀照片，避免棚拍感反光过强鞋面模糊logo乱码
S05,静物图,浅色墙边和灰色地板,鞋子靠墙鞋头略微朝外,低角度突出鞋头和侧面线条,极简墙面灰地板,真实随拍干净背景鞋型准确,透视错误鞋子悬空文字水印过度滤镜,静物图，浅色墙边和灰色地板，鞋子靠墙鞋头略微朝外，低角度突出鞋头和侧面线条，极简墙面灰地板，真实随拍干净背景鞋型准确，鞋子细节清晰，真实买家秀照片，避免透视错误鞋子悬空文字水印过度滤镜
S06,静物图,鞋盒旁边,鞋盒半开鞋带自然散开鞋子前后错落,正侧面开箱构图,鞋盒包装纸购物袋,真实开箱买家秀细节清楚自然光,品牌乱码包装变形鞋子重复画面杂乱,静物图，鞋盒旁边，鞋盒半开鞋带自然散开鞋子前后错落，正侧面开箱构图，鞋盒包装纸购物袋，真实开箱买家秀细节清楚自然光，鞋子细节清晰，真实买家秀照片，避免品牌乱码包装变形鞋子重复画面杂乱
S07,静物图,窗边地面,鞋子随意并排阳光斜射形成影子,干净留白俯拍或侧俯拍,窗帘地板自然光影,简约干净手机实拍质感生活化,过曝阴影脏乱鞋面缺失文字水印,静物图，窗边地面，鞋子随意并排阳光斜射形成影子，干净留白俯拍或侧俯拍，窗帘地板自然光影，简约干净手机实拍质感生活化，鞋子细节清晰，真实买家秀照片，避免过曝阴影脏乱鞋面缺失文字水印
S08,静物图,柔软毛毯上,鞋子放在毛毯褶皱中旁边放袜子,俯拍近景,毛毯白袜针织布,温柔居家风真实买家秀静物浅色自然光,鞋子变软变形画面糊过度磨皮logo乱码,静物图，柔软毛毯上，鞋子放在毛毯褶皱中旁边放袜子，俯拍近景，毛毯白袜针织布，温柔居家风真实买家秀静物浅色自然光，鞋子细节清晰，真实买家秀照片，避免鞋子变软变形画面糊过度磨皮logo乱码
S09,静物图,白色石膏台或粗糙石面,鞋子前后错落摆放露出鞋侧和鞋头,极简侧拍浅灰背景,石膏台粗糙石面少量道具,极简高级感材质清楚真实阴影,悬浮感比例错误文字水印过度修图,静物图，白色石膏台或粗糙石面，鞋子前后错落摆放露出鞋侧和鞋头，极简侧拍浅灰背景，石膏台粗糙石面少量道具，极简高级感材质清楚真实阴影，鞋子细节清晰，真实买家秀照片，避免悬浮感比例错误文字水印过度修图
S10,静物图,椅子旁或包包旁,鞋子随意放置像刚脱下来,生活化构图手机竖拍,包包杂志椅脚地板,真实生活场景买家秀实拍感鞋子清晰,画面杂乱鞋子不完整AI感强夸张滤镜,静物图，椅子旁或包包旁，鞋子随意放置像刚脱下来，生活化构图手机竖拍，包包杂志椅脚地板，真实生活场景买家秀实拍感鞋子清晰，鞋子细节清晰，真实买家秀照片，避免画面杂乱鞋子不完整AI感强夸张滤镜
S11,静物图,木质桌面,鞋子与包包并排鞋头朝向镜头,侧俯拍自然留白,帆布包杂志木纹桌面,日常开箱感温暖自然光真实质感,文字水印鞋头扭曲背景过满过度锐化,静物图，木质桌面，鞋子与包包并排鞋头朝向镜头，侧俯拍自然留白，帆布包杂志木纹桌面，日常开箱感温暖自然光真实质感，鞋子细节清晰，真实买家秀照片，避免文字水印鞋头扭曲背景过满过度锐化
S12,静物图,大理石台面,一只鞋立起一只鞋平放展示鞋侧,正侧面中近景,大理石纹理浅色背景,干净高级静物真实材质自然阴影,反光过强鞋底变形logo乱码比例错误,静物图，大理石台面，一只鞋立起一只鞋平放展示鞋侧，正侧面中近景，大理石纹理浅色背景，干净高级静物真实材质自然阴影，鞋子细节清晰，真实买家秀照片，避免反光过强鞋底变形logo乱码比例错误
S13,静物图,透明亚克力凳上,鞋带松开鞋舌自然露出,近景竖图主体居中,透明凳白墙少量阴影,清爽买家秀静物手机随拍质感,鞋带乱码鞋面模糊水印画面杂乱,静物图，透明亚克力凳上，鞋带松开鞋舌自然露出，近景竖图主体居中，透明凳白墙少量阴影，清爽买家秀静物手机随拍质感，鞋子细节清晰，真实买家秀照片，避免鞋带乱码鞋面模糊水印画面杂乱
S14,静物图,灰色背景纸前,鞋子放在布料边缘留出大面积空白,俯拍构图简洁,灰布背景少量褶皱,冷淡风极简摆拍鞋型准确,商业棚拍过重鞋子悬浮文字水印过度修图,静物图，灰色背景纸前，鞋子放在布料边缘留出大面积空白，俯拍构图简洁，灰布背景少量褶皱，冷淡风极简摆拍鞋型准确，鞋子细节清晰，真实买家秀照片，避免商业棚拍过重鞋子悬浮文字水印过度修图
S15,静物图,窗帘旁低矮地台,两只鞋错位摆放形成自然层次,低角度侧拍,白色窗帘地台自然光,居家静物买家秀柔和阴影真实质感,过曝鞋面缺失背景虚假logo乱码,静物图，窗帘旁低矮地台，两只鞋错位摆放形成自然层次，低角度侧拍，白色窗帘地台自然光，居家静物买家秀柔和阴影真实质感，鞋子细节清晰，真实买家秀照片，避免过曝鞋面缺失背景虚假logo乱码
S16,静物图,白色柜子上,鞋子靠在购物袋旁像开箱后随手拍,正面偏侧构图,购物袋包装纸白柜,真实开箱晒图干净生活感,品牌乱码包装变形鞋子重复水印,静物图，白色柜子上，鞋子靠在购物袋旁像开箱后随手拍，正面偏侧构图，购物袋包装纸白柜，真实开箱晒图干净生活感，鞋子细节清晰，真实买家秀照片，避免品牌乱码包装变形鞋子重复水印
S17,静物图,地毯和杂志旁,鞋子放在杂志上方旁边有小摆件,俯拍近景,杂志香薰地毯,小红书静物风真实买家秀自然光,文字乱码画面过满鞋子变形过度滤镜,静物图，地毯和杂志旁，鞋子放在杂志上方旁边有小摆件，俯拍近景，杂志香薰地毯，小红书静物风真实买家秀自然光，鞋子细节清晰，真实买家秀照片，避免文字乱码画面过满鞋子变形过度滤镜
S18,静物图,行李箱旁,一只鞋压住包装纸另一只鞋露出鞋底,斜侧近景,行李箱衣物包装纸,旅行随手拍买家秀生活化,鞋底变形杂乱背景文字水印AI感强,静物图，行李箱旁，一只鞋压住包装纸另一只鞋露出鞋底，斜侧近景，行李箱衣物包装纸，旅行随手拍买家秀生活化，鞋子细节清晰，真实买家秀照片，避免鞋底变形杂乱背景文字水印AI感强
S19,静物图,购物袋旁,鞋子放在椅脚旁生活化随手摆,中近景竖图,购物袋椅脚灰地板,真实买家秀静物非专业摄影感,logo乱码鞋面糊鞋子不完整过度锐化,静物图，购物袋旁，鞋子放在椅脚旁生活化随手摆，中近景竖图，购物袋椅脚灰地板，真实买家秀静物非专业摄影感，鞋子细节清晰，真实买家秀照片，避免logo乱码鞋面糊鞋子不完整过度锐化
S20,静物图,床尾长凳上,鞋子和袜子一起摆放颜色协调,俯拍或侧俯拍,长凳白袜床品,温柔居家买家秀鞋面纹理清楚,鞋子变软变形过曝文字水印比例错误,静物图，床尾长凳上，鞋子和袜子一起摆放颜色协调，俯拍或侧俯拍，长凳白袜床品，温柔居家买家秀鞋面纹理清楚，鞋子细节清晰，真实买家秀照片，避免鞋子变软变形过曝文字水印比例错误
F01,上脚图,灰色地板或浅色地毯,坐姿双脚自然前伸白袜搭配运动鞋,第一视角俯拍只拍小腿和鞋,白色中筒袜裙摆或裤脚露一点,真实买家秀随拍居家自然光鞋子细节清楚,脚部畸形鞋子变形文字水印过度精修,上脚图，灰色地板或浅色地毯，坐姿双脚自然前伸白袜搭配运动鞋，第一视角俯拍只拍小腿和鞋，白色中筒袜裙摆或裤脚露一点，真实买家秀随拍居家自然光鞋子细节清楚，鞋子细节清晰，真实买家秀照片，避免脚部畸形鞋子变形文字水印过度精修
F02,上脚图,黑色皮沙发上,坐姿双脚交叉或一前一后,斜俯拍只拍腿部和鞋子,白袜长裙或休闲裤运动鞋,生活化买家秀真实反光自然阴影,鞋底扭曲腿部比例错误背景过假logo乱码,上脚图，黑色皮沙发上，坐姿双脚交叉或一前一后，斜俯拍只拍腿部和鞋子，白袜长裙或休闲裤运动鞋，生活化买家秀真实反光自然阴影，鞋子细节清晰，真实买家秀照片，避免鞋底扭曲腿部比例错误背景过假logo乱码
F03,上脚图,浅色地毯,双脚踩在地毯上脚尖微微内扣,正俯拍裙摆露出一点,浅色裙摆中筒袜运动鞋,居家温柔风手机随拍真实质感,过曝脚踝变形鞋子模糊文字水印,上脚图，浅色地毯，双脚踩在地毯上脚尖微微内扣，正俯拍裙摆露出一点，浅色裙摆中筒袜运动鞋，居家温柔风手机随拍真实质感，鞋子细节清晰，真实买家秀照片，避免过曝脚踝变形鞋子模糊文字水印
F04,上脚图,楼梯台阶,坐在楼梯上一只脚踩台阶一只脚悬空,侧面近景只拍膝盖以下,袜子短裤或裙摆运动鞋,动态自然上脚展示清晰低角度实拍,鞋底变形台阶透视错误多人入镜夸张滤镜,上脚图，楼梯台阶，坐在楼梯上一只脚踩台阶一只脚悬空，侧面近景只拍膝盖以下，袜子短裤或裙摆运动鞋，动态自然上脚展示清晰低角度实拍，鞋子细节清晰，真实买家秀照片，避免鞋底变形台阶透视错误多人入镜夸张滤镜
F05,上脚图,镜子前或衣柜前,站姿脚尖微微内八双腿自然站立,低头俯拍只拍腿和鞋,白袜短裙运动鞋,小红书买家秀风室内自然光真实自拍感,镜面变形脚部畸形鞋子重复文字水印,上脚图，镜子前或衣柜前，站姿脚尖微微内八双腿自然站立，低头俯拍只拍腿和鞋，白袜短裙运动鞋，小红书买家秀风室内自然光真实自拍感，鞋子细节清晰，真实买家秀照片，避免镜面变形脚部畸形鞋子重复文字水印
F06,上脚图,街头人行道,走路抓拍一只鞋底轻微抬起,低角度动态图只拍小腿和鞋,牛仔裤或短裤运动鞋,街头随拍轻微动态感鞋型清晰,运动模糊过重鞋子变形背景虚假logo乱码,上脚图，街头人行道，走路抓拍一只鞋底轻微抬起，低角度动态图只拍小腿和鞋，牛仔裤或短裤运动鞋，街头随拍轻微动态感鞋型清晰，鞋子细节清晰，真实买家秀照片，避免运动模糊过重鞋子变形背景虚假logo乱码
F07,上脚图,车内副驾驶,脚自然搭在脚垫上坐姿放松,斜俯拍只拍腿部和鞋子,休闲裤白袜运动鞋,真实生活感手机随拍车内自然光,脚垫杂乱脚部比例错误鞋面模糊文字水印,上脚图，车内副驾驶，脚自然搭在脚垫上坐姿放松，斜俯拍只拍腿部和鞋子，休闲裤白袜运动鞋，真实生活感手机随拍车内自然光，鞋子细节清晰，真实买家秀照片，避免脚垫杂乱脚部比例错误鞋面模糊文字水印
F08,上脚图,餐椅或休闲椅旁,坐在椅子边缘双脚一前一后,中近景只拍膝盖以下,裤脚或裙摆自然垂落运动鞋,买家秀随拍姿势自然鞋型清楚,姿势僵硬鞋子不完整畸形腿过度美颜,上脚图，餐椅或休闲椅旁，坐在椅子边缘双脚一前一后，中近景只拍膝盖以下，裤脚或裙摆自然垂落运动鞋，买家秀随拍姿势自然鞋型清楚，鞋子细节清晰，真实买家秀照片，避免姿势僵硬鞋子不完整畸形腿过度美颜
F09,上脚图,玄关地垫,弯腿换鞋鞋带微松像正在试穿,只拍小腿和鞋近景,袜子鞋带玄关地垫,日常试穿买家秀真实自然光生活化,鞋带乱码脚踝变形文字水印商业棚拍,上脚图，玄关地垫，弯腿换鞋鞋带微松像正在试穿，只拍小腿和鞋近景，袜子鞋带玄关地垫，日常试穿买家秀真实自然光生活化，鞋子细节清晰，真实买家秀照片，避免鞋带乱码脚踝变形文字水印商业棚拍
F10,上脚图,木地板或灰地砖,站立俯拍双脚鞋头朝向镜头,正俯拍旁边有生活道具,包包杂志白袜运动鞋,真实买家秀风干净构图手机实拍,鞋头变形画面倾斜过度logo乱码AI感强,上脚图，木地板或灰地砖，站立俯拍双脚鞋头朝向镜头，正俯拍旁边有生活道具，包包杂志白袜运动鞋，真实买家秀风干净构图手机实拍，鞋子细节清晰，真实买家秀照片，避免鞋头变形画面倾斜过度logo乱码AI感强
F11,上脚图,床边地毯,坐在床边双脚踩在地毯上,第一视角俯拍,毛衣裙摆白袜运动鞋,居家随拍柔和自然光真实试穿,脚部畸形鞋子变形过曝文字水印,上脚图，床边地毯，坐在床边双脚踩在地毯上，第一视角俯拍，毛衣裙摆白袜运动鞋，居家随拍柔和自然光真实试穿，鞋子细节清晰，真实买家秀照片，避免脚部畸形鞋子变形过曝文字水印
F12,上脚图,咖啡店座位下,坐着翘起一只脚露出鞋侧面,斜俯拍只拍小腿和鞋,长裙白袜运动鞋,生活方式买家秀暖色室内光,背景过乱鞋面模糊腿部比例错误logo乱码,上脚图，咖啡店座位下，坐着翘起一只脚露出鞋侧面，斜俯拍只拍小腿和鞋，长裙白袜运动鞋，生活方式买家秀暖色室内光，鞋子细节清晰，真实买家秀照片，避免背景过乱鞋面模糊腿部比例错误logo乱码
F13,上脚图,公园长椅旁,一只脚向前伸出一只脚自然后收,低角度近景,短裤中筒袜运动鞋,户外自然光真实买家秀抓拍,运动模糊过重鞋底变形文字水印,上脚图，公园长椅旁，一只脚向前伸出一只脚自然后收，低角度近景，短裤中筒袜运动鞋，户外自然光真实买家秀抓拍，鞋子细节清晰，真实买家秀照片，避免运动模糊过重鞋底变形文字水印
F14,上脚图,电梯厅地面,双脚并排踩地裤脚自然堆叠,正俯拍只拍鞋和小腿,直筒裤白袜运动鞋,通勤买家秀手机随拍冷色光,透视错误鞋头扭曲地面反光过强水印,上脚图，电梯厅地面，双脚并排踩地裤脚自然堆叠，正俯拍只拍鞋和小腿，直筒裤白袜运动鞋，通勤买家秀手机随拍冷色光，鞋子细节清晰，真实买家秀照片，避免透视错误鞋头扭曲地面反光过强水印
F15,上脚图,试衣间镜前,低头整理鞋带只露小腿和鞋,镜前俯拍,短裙白袜运动鞋,真实试穿自拍感鞋型突出,镜子变形脚踝畸形鞋子重复文字水印,上脚图，试衣间镜前，低头整理鞋带只露小腿和鞋，镜前俯拍，短裙白袜运动鞋，真实试穿自拍感鞋型突出，鞋子细节清晰，真实买家秀照片，避免镜子变形脚踝畸形鞋子重复文字水印
F16,上脚图,阳台地面,脚尖轻轻相碰袜子和鞋子清楚,俯拍竖图自然留白,浅色袜子运动鞋窗帘边,温柔居家自然光真实质感,过曝鞋子模糊AI感强文字水印,上脚图，阳台地面，脚尖轻轻相碰袜子和鞋子清楚，俯拍竖图自然留白，浅色袜子运动鞋窗帘边，温柔居家自然光真实质感，鞋子细节清晰，真实买家秀照片，避免过曝鞋子模糊AI感强文字水印
F17,上脚图,办公室椅子旁,脚踩在椅子横杆下方姿势随意,侧俯拍近景,休闲裤白袜运动鞋,日常通勤买家秀真实室内光,腿部比例错误背景杂乱鞋面糊logo乱码,上脚图，办公室椅子旁，脚踩在椅子横杆下方姿势随意，侧俯拍近景，休闲裤白袜运动鞋，日常通勤买家秀真实室内光，鞋子细节清晰，真实买家秀照片，避免腿部比例错误背景杂乱鞋面糊logo乱码
F18,上脚图,地铁站台边,走路停顿瞬间一只脚向外打开,动态低角度只拍小腿和鞋,牛仔裤运动鞋,城市街头买家秀真实抓拍,鞋底变形背景虚假多人入镜过度滤镜,上脚图，地铁站台边，走路停顿瞬间一只脚向外打开，动态低角度只拍小腿和鞋，牛仔裤运动鞋，城市街头买家秀真实抓拍，鞋子细节清晰，真实买家秀照片，避免鞋底变形背景虚假多人入镜过度滤镜
F19,上脚图,商场走廊地面,坐姿脚跟靠近鞋头分开,斜俯拍只拍腿和鞋,长袜短裙运动鞋,商场试穿买家秀自然灯光,脚部畸形鞋头变形文字水印过度美颜,上脚图，商场走廊地面，坐姿脚跟靠近鞋头分开，斜俯拍只拍腿和鞋，长袜短裙运动鞋，商场试穿买家秀自然灯光，鞋子细节清晰，真实买家秀照片，避免脚部畸形鞋头变形文字水印过度美颜
F20,上脚图,酒店房间地毯,膝盖微弯鞋子靠近画面下方,第一视角俯拍,睡袍边缘白袜运动鞋,旅行试穿随拍柔和室内光,过度精修鞋子变形画面杂乱logo乱码,上脚图，酒店房间地毯，膝盖微弯鞋子靠近画面下方，第一视角俯拍，睡袍边缘白袜运动鞋，旅行试穿随拍柔和室内光，鞋子细节清晰，真实买家秀照片，避免过度精修鞋子变形画面杂乱logo乱码
